Comments
"bismillahirrahmanirrahim  bisaaa jadii mabaa stannn, Aminnnnn"
Semogaa allah meridhoi aku untuk bisaa lolos di STAN
BISMILLAH LOLOS JADI MABA STAN 2023
"Permisi, izin bertanya
Untuk seleksi administrasi hanya dilakukan secara online atau online + offline ke kantor BKN kota ya?
Mohon jawaban dan penjelasan lengkpnya, Terima Kasih "
"Allahumma Sholli 'Ala Sayyidina Muhammad, Bismillah 2023 masuk STAN"
lailla hailla anta subhanaka inni kuntu minazdzolimiin berilah kewajiban mu ya Allah Tiara Nabila Putri lulus di Politeknik Keuangan Negara STAN 2023 Lilla hita'ala Aamiin Ya Allah
"Bismillahirrahmanirrahim, semoga tahun 2023 ini lolos dan jadi maba STAN"
Bismillahirahmanirahim atas izin Allah semoga aku diterima sebagai maba PKN STAN
"Bismillahirrahmanirrahim... Semoga saya bisa masuk STAN, berikan doa kalian yang terbaik yado'ain semuanya"
Semoga adekku lolos masuk PKN STAN tahun ini . Sudah diidam idamkannya sejak masih bangku SMP
Bismillah maba stan 2023
"Bismillahirrahmanirrahim mencoba kembali, atas izin Allah jdi maba STAN tahun ini.."
"Tahun terakhir daftar, semoga dilancarkan sampai official jadi staners'23. AAAMMIIIN"
"Bagaimana cara mengisi no utbk apabila kita memilih jalur pembibitan, apakah harus di isi dan tetap wajib daftar UTBK ?"
"Seberapa ketat persaingan di STAN
masak nilai 
- TPS(697,33 - 724,17 - 708,44 - 752,22) yg diminta 600
- Bahasa indo (592,54) yg diminta 550
- Bahasa ing.  (446.90) yg diminta 450
- Tes penalaran MM (563,48) yg diminta 500
Hanya kurang di bahasa inggris 3,1 dak lolos tes administrasi pdahal yg lain nilainya kelebihan bnyak"
Semoga lulus tahun ini amin
Bismillah Laa haula walaquwwata illaabillaah 
Allahuma shali alaa sayyidina Muhammad dengan doa orang tua saya bisa masuk ke sinii Allahuakbar 
Bismillah masuk stan tahun ini
Alhamdulillah 
Allahummasholi ala Muhammad wa'ala Ali sayyidina Muhammad. Bismillah masuk stan  amin.
"Allahumma sholli ala sayyidina muhammad,ya allah bismillah,semoga bisa lulus berkas,aamiin"
Bismillahirahmanirahim Allahuma Sholialla Sayidina Muhammad Yaallah Tahun iniiiiii 
"min,dimana cetak kartu ujian?"
dalam nama Yesus saya lulus Amin.
"Ka untuk rapot yang diunggah di website dikdik hanya pengetahuan 
saja atau dengan keterampilannya?"
bismillah 2023 ikut dinamika-!!
Tolong Pendaftaran di spmb nya di perpanjang 
ALLAHUMA SHOLI ALA SAYYIDINA MUHAMMAD 2023
"Min mau tanya untuk memastikan, sudah isi data di web spmb stan nya, namun belum bisa kunci data, itu memang seperti itu ya? Menunggu dulu hasil seleksi administrasi/?"
STAN tunggu aku di 2027 yaa!!
dalam nama Yesus!
Bismillah Tahun Depan
Apakah bisa dibuka kebijakan memperpanjang waktu pendaftaran sampai beberapa hari kedepan..??
"MAU STANNN, BUCINN BANGETTSSSSS"
"Ya Allah Sekolah Anakku Buat keterangan rata rata nilai raport salah......saya tidak tahu hubungi siapa, mohon bantuan kalian semua tuk bisa selesaikan masalah ini."
Allahumma Sholli Ala Sayyidina Muhammad
Allahumma Solli 'Alaa Sayyidinaa Muhammad
